ts_code,M0_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,amount,oi
SN.SHF,SN1507.SHF,2015-03-27,,122975.06604067294,122780.66332374368,122790.89504568733,117818.2781810757,122033.74762185758,121992.820734083,1798.0,21437.626,608.0
SN.SHF,SN1507.SHF,2015-03-30,122033.74762185758,121992.820734083,122033.74762185758,122299.77239239235,118278.70566853974,120816.17271056378,120447.83072059255,2468.0,29053.718,830.0
SN.SHF,SN1507.SHF,2015-03-31,120816.17271056378,120447.83072059255,120376.20866698703,122576.02888487077,118647.04765851097,120898.02648611294,120519.45277419807,4522.0,53268.596,1176.0
SN.SHF,SN1507.SHF,2015-04-01,120898.02648611294,120519.45277419807,120754.7823789019,121634.7104660554,119782.76879425561,120642.2334375218,121020.80714943669,4374.0,51736.104,1272.0
SN.SHF,SN1507.SHF,2015-04-02,120642.2334375218,121020.80714943669,120703.62376918369,121839.34490492831,120703.62376918369,121368.68569552063,121286.83191997146,2716.0,32195.974,1038.0
SN.SHF,SN1507.SHF,2015-04-03,121368.68569552063,121286.83191997146,121563.08841244988,122238.38206073048,121307.29536385875,121604.01530022446,121706.33251966092,1390.0,16534.576,1000.0
SN.SHF,SN1507.SHF,2015-04-07,121604.01530022446,121706.33251966092,121644.94218799906,121849.57662687196,121010.57542749304,121614.24702216811,121378.91741746427,848.0,10059.93,904.0
SN.SHF,SN1507.SHF,2015-04-08,121614.24702216811,121378.91741746427,121460.77119301344,121644.94218799906,119864.62256980476,120601.30654974723,120938.95337388752,848.0,10023.478,750.0
SN.SHF,SN1507.SHF,2015-04-09,120601.30654974723,120938.95337388752,120294.35489143788,120713.85549112732,119199.56064346782,119496.28057983353,119905.54945757934,816.0,9563.434,802.0
SN.SHF,SN1507.SHF,2015-04-10,119496.28057983353,119905.54945757934,119199.56064346782,119690.6832967628,117992.21745411768,118677.74282434191,118544.73043907453,2418.0,28015.058,916.0
SN.SHF,SN1507.SHF,2015-04-13,118677.74282434191,118544.73043907453,118647.04765851097,118984.69448265128,117941.05884439945,118626.58421462368,118432.18149769443,1628.0,18845.234,1008.0
SN.SHF,SN1507.SHF,2015-04-14,118626.58421462368,118432.18149769443,118227.54705882152,118329.86427825797,114902.23742713679,114902.23742713679,116314.21505535985,5588.0,63527.712,1894.0
SN.SHF,SN1507.SHF,2015-04-15,114902.23742713679,116314.21505535985,115004.55464657325,116784.87426476752,114922.70087102408,116488.15432840181,116160.73922620517,4132.0,46911.012,1692.0
SN.SHF,SN1507.SHF,2015-04-16,116488.15432840181,116160.73922620517,115823.09240206487,116334.67849924714,113582.34529640655,115495.67729986823,115393.36008043177,3866.0,43604.23,1962.0
SN.SHF,SN1507.SHF,2015-04-17,115495.67729986823,115393.36008043177,115628.68968513561,115628.68968513561,111832.7208440432,112548.94138009837,113684.662515843,11322.0,125802.026,3584.0
SN.SHF,SN1507.SHF,2015-04-20,112548.94138009837,113684.662515843,114595.28576882744,115577.53107541738,113694.89423778665,114022.3093399833,114441.80993967275,10518.0,117652.754,2656.0
SN.SHF,SN1507.SHF,2015-04-21,114022.3093399833,114441.80993967275,114431.57821772911,114472.50510550369,113674.43079389936,114134.8582813634,114053.00450581423,3434.0,38280.01,2964.0
SN.SHF,SN1507.SHF,2015-04-22,114134.8582813634,114053.00450581423,114789.68848575669,116058.42200676871,114789.68848575669,115557.0676315301,115485.44557792458,5870.0,66257.904,2738.0
SN.SHF,SN1507.SHF,2015-04-23,115557.0676315301,115485.44557792458,116027.72684093777,116396.068830909,115577.53107541738,115925.40962150133,116058.42200676871,3310.0,37546.334,2468.0
SN.SHF,SN1507.SHF,2015-04-24,115925.40962150133,116058.42200676871,115976.56823121956,116590.47154783827,115362.66491460083,116580.23982589462,116058.42200676871,2088.0,23685.192,2526.0
SN.SHF,SN1507.SHF,2015-04-27,116580.23982589462,116058.42200676871,117050.89903530231,120693.39204724004,117050.89903530231,120693.39204724004,119230.25580929876,16994.0,198046.732,3096.0
SN.SHF,SN1507.SHF,2015-04-28,120693.39204724004,119230.25580929876,120703.62376918369,121297.06364191511,119199.56064346782,120120.4156183959,120468.29416447984,31980.0,376545.284,4452.0
SN.SHF,SN1507.SHF,2015-04-29,120120.4156183959,120468.29416447984,119854.39084786113,120447.83072059255,117777.35129330112,118043.37606383591,119526.97574566447,10628.0,124157.168,4638.0
SN.SHF,SN1507.SHF,2015-04-30,118043.37606383591,119526.97574566447,118687.97454628555,122678.34610430723,117715.96096163926,120365.97694504338,120079.48873062132,17782.0,208690.5,5578.0
SN.SHF,SN1507.SHF,2015-05-04,120365.97694504338,120079.48873062132,120079.48873062132,122289.54067044871,120079.48873062132,121552.85669050625,121583.55185633717,8824.0,104859.828,6072.0
