ts_code,M0_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,amount,oi
L.DCE,L1505.DCE,2015-01-12,13882.772906643017,13994.246685386908,13814.173658185238,13882.772906643017,13625.525724926347,13771.299127899127,13762.724221841903,1125148.0,4514943.16,550808.0
L.DCE,L1505.DCE,2015-01-13,13771.299127899127,13762.724221841903,13634.100630983568,13814.173658185238,13582.651194640233,13728.424597613015,13719.849691555792,1059444.0,4238067.8,548806.0
L.DCE,L1505.DCE,2015-01-14,13728.424597613015,13719.849691555792,13762.724221841903,13977.096873272463,13762.724221841903,13934.222342986352,13865.623094528573,1379548.0,5579347.9,591678.0
L.DCE,L1505.DCE,2015-01-15,13934.222342986352,13865.623094528573,14114.295370188021,14345.817833733025,14011.396497501353,14337.242927675803,14182.8946186458,1444956.0,5976630.81,601982.0
L.DCE,L1505.DCE,2015-01-16,14337.242927675803,14182.8946186458,14234.344054989135,14380.117457961915,14148.594994416912,14302.943303446913,14260.068773160801,1044956.0,4345237.39,576324.0
L.DCE,L1505.DCE,2015-01-19,14302.943303446913,14260.068773160801,14405.842176133581,14594.490109392475,14320.093115561358,14560.190485163585,14448.716706419693,992862.0,4183956.94,585118.0
L.DCE,L1505.DCE,2015-01-20,14560.190485163585,14448.716706419693,14500.166142763028,14517.315954877473,14242.918961046356,14311.518209504136,14345.817833733025,805830.0,3372221.25,585556.0
L.DCE,L1505.DCE,2015-01-21,14311.518209504136,14345.817833733025,14285.793491332468,14560.190485163585,14234.344054989135,14491.591236705806,14431.56689430525,945896.0,3980999.75,595038.0
L.DCE,L1505.DCE,2015-01-22,14491.591236705806,14431.56689430525,14577.34029727803,14654.514451793031,14345.817833733025,14405.842176133581,14491.591236705806,1106476.0,4676527.09,619714.0
L.DCE,L1505.DCE,2015-01-23,14405.842176133581,14491.591236705806,14405.842176133581,14422.991988248026,14242.918961046356,14337.242927675803,14328.66802161858,743546.0,3106256.34,620920.0
L.DCE,L1505.DCE,2015-01-26,14337.242927675803,14328.66802161858,14234.344054989135,14268.643679218023,13908.497624814685,13951.372155100797,14045.696121730241,902156.0,3694436.81,593982.0
L.DCE,L1505.DCE,2015-01-27,13951.372155100797,14045.696121730241,14037.12121567302,14140.020088359688,13994.246685386908,14045.696121730241,14071.42083990191,621704.0,2550798.1,565850.0
L.DCE,L1505.DCE,2015-01-28,14045.696121730241,14071.42083990191,14097.145558073576,14182.8946186458,13977.096873272463,14182.8946186458,14079.995745959131,615710.0,2528118.21,567848.0
L.DCE,L1505.DCE,2015-01-29,14182.8946186458,14079.995745959131,14071.42083990191,14251.49386710358,14062.845933844686,14225.769148931911,14165.744806531355,611108.0,2525314.96,588744.0
L.DCE,L1505.DCE,2015-01-30,14225.769148931911,14165.744806531355,14242.918961046356,14260.068773160801,14002.82159144413,14002.82159144413,14097.145558073576,621016.0,2552419.62,585274.0
L.DCE,L1505.DCE,2015-02-02,14002.82159144413,14097.145558073576,14234.344054989135,14440.141800362471,14165.744806531355,14362.96764584747,14311.518209504136,887414.0,3703836.06,611610.0
L.DCE,L1505.DCE,2015-02-03,14362.96764584747,14311.518209504136,14465.866518534138,14808.862760823033,14465.866518534138,14800.287854765811,14594.490109392475,1135554.0,4832774.46,616988.0
L.DCE,L1505.DCE,2015-02-04,14800.287854765811,14594.490109392475,14971.785975910258,15177.583721283596,14765.988230536921,14774.563136594144,14963.211069853036,1392350.0,6076694.42,536306.0
L.DCE,L1505.DCE,2015-02-05,14774.563136594144,14963.211069853036,14551.615579106363,14714.538794193588,14543.04067304914,14654.514451793031,14637.364639678586,732686.0,3128147.73,565020.0
L.DCE,L1505.DCE,2015-02-06,14654.514451793031,14637.364639678586,14834.587478994701,15194.733533398039,14808.862760823033,15177.583721283596,15006.085600139148,1311966.0,5743126.15,555284.0
L.DCE,L1505.DCE,2015-02-09,15177.583721283596,15006.085600139148,15091.83466071137,15126.13428494026,14946.061257738591,15100.409566768594,15031.810318310814,833018.0,3651492.36,556174.0
L.DCE,L1505.DCE,2015-02-10,15100.409566768594,15031.810318310814,15031.810318310814,15229.03315762693,15014.66050619637,15194.733533398039,15134.709190997482,825678.0,3643401.32,594322.0
