date,open,high,low,close,volume,open_interest
2023-07-28,10730.0,10880.0,10560.0,10755.0,82745.0,15177.0
2023-07-31,10805.0,11105.0,10765.0,10985.0,98875.0,26887.0
2023-08-01,11000.0,11045.0,10855.0,10970.0,28220.0,32618.0
2023-08-02,10975.0,11125.0,10910.0,11115.0,34104.0,40458.0
2023-08-03,11110.0,11450.0,11105.0,11320.0,125082.0,50425.0
2023-08-04,11390.0,11440.0,11250.0,11360.0,41173.0,52551.0
2023-08-07,11380.0,11420.0,11255.0,11385.0,40097.0,55892.0
2023-08-08,11400.0,11510.0,11270.0,11280.0,33336.0,58286.0
2023-08-09,11225.0,11380.0,11175.0,11365.0,21325.0,59772.0
2023-08-10,11370.0,11375.0,11220.0,11230.0,22536.0,61759.0
2023-08-11,11220.0,11380.0,11200.0,11335.0,24133.0,64156.0
2023-08-14,11335.0,11370.0,11230.0,11300.0,20017.0,66777.0
2023-08-15,11295.0,11420.0,11285.0,11320.0,21199.0,69476.0
2023-08-16,11310.0,11350.0,11230.0,11295.0,19124.0,72243.0
2023-08-17,11315.0,11380.0,11250.0,11315.0,19886.0,74564.0
2023-08-18,11330.0,11445.0,11270.0,11275.0,31607.0,75511.0
2023-08-21,11275.0,11420.0,11275.0,11420.0,27737.0,75520.0
2023-08-22,11425.0,11560.0,11320.0,11440.0,26211.0,75477.0
2023-08-23,11440.0,11725.0,11405.0,11530.0,52583.0,78025.0
2023-08-24,11560.0,11670.0,11520.0,11580.0,63012.0,79707.0
2023-08-25,11605.0,11900.0,11545.0,11875.0,58503.0,87981.0
2023-08-28,11890.0,12200.0,11780.0,11930.0,53682.0,91410.0
2023-08-29,11955.0,12115.0,11825.0,12070.0,35585.0,94611.0
2023-08-30,12030.0,12145.0,11950.0,12100.0,40845.0,95440.0
2023-08-31,12130.0,12180.0,12020.0,12145.0,33493.0,93387.0
2023-09-01,12250.0,13295.0,12190.0,13295.0,110900.0,112433.0
2023-09-04,13890.0,14440.0,13590.0,13680.0,436830.0,113282.0
2023-09-05,13745.0,14575.0,13570.0,14385.0,695790.0,131897.0
2023-09-06,14330.0,14600.0,14020.0,14180.0,546732.0,134842.0
2023-09-07,14205.0,14285.0,13465.0,14080.0,467673.0,136399.0
2023-09-08,14085.0,14360.0,13515.0,13550.0,508994.0,127557.0
2023-09-11,13640.0,13855.0,13340.0,13675.0,237916.0,124473.0
2023-09-12,13730.0,14240.0,13730.0,14140.0,287303.0,132633.0
2023-09-13,14135.0,14170.0,13590.0,13745.0,201718.0,124504.0
2023-09-14,13800.0,13950.0,13580.0,13920.0,161526.0,129664.0
2023-09-15,14040.0,14065.0,13710.0,13860.0,142188.0,126004.0
2023-09-18,13895.0,13980.0,13665.0,13855.0,110107.0,121960.0
2023-09-19,13900.0,14030.0,13725.0,13740.0,98674.0,120067.0
2023-09-20,13740.0,13920.0,13565.0,13605.0,87657.0,121243.0
2023-09-21,13525.0,13565.0,13150.0,13230.0,121727.0,115026.0
2023-09-22,13295.0,13530.0,13280.0,13515.0,63709.0,111770.0
2023-09-25,13540.0,13595.0,13070.0,13235.0,70314.0,106714.0
2023-09-26,13220.0,13245.0,12785.0,12860.0,83263.0,104531.0
2023-09-27,12860.0,12890.0,12645.0,12775.0,72612.0,101412.0
2023-09-28,12835.0,13085.0,12755.0,12765.0,76802.0,93608.0
