ts_code,M0_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,amount,oi
IC.CFX,IC1505.CFX,2015-04-16,,29499.643230754165,28980.47727923448,29391.735191412135,28222.857198819132,29081.593903513025,28836.348359553875,116888.0,17928587.988,6643.0
IC.CFX,IC1505.CFX,2015-04-17,29081.593903513025,28836.348359553875,29135.170622347177,29877.69866928812,28792.581462478087,29271.75352529058,29442.293503551406,114214.0,17813998.18,9144.0
IC.CFX,IC1505.CFX,2015-04-20,29271.75352529058,29442.293503551406,29278.544940354066,29644.526752108493,28606.949450742854,28758.624387160664,28754.851378792064,98781.0,15254160.816,10706.0
IC.CFX,IC1505.CFX,2015-04-21,28758.624387160664,28754.851378792064,28864.26862148153,30738.699179003168,28826.538537795506,30713.79732377039,30393.846214112917,132545.0,20937525.848,16732.0
IC.CFX,IC1505.CFX,2015-04-22,30713.79732377039,30393.846214112917,30780.20227105779,31081.288338872255,30577.969022500707,30900.183937179347,30928.104199107005,121034.0,19763685.172,14854.0
IC.CFX,IC1505.CFX,2015-04-23,30900.183937179347,30928.104199107005,30912.257563958876,31613.282518845182,30789.257491142438,31186.177971519406,31189.196378214285,132278.0,21853638.912,14805.0
IC.CFX,IC1505.CFX,2015-04-24,31186.177971519406,31189.196378214285,31119.018422558278,31503.865276155717,30651.165384851593,31418.59528702531,31344.644323000703,126381.0,20778778.6,14603.0
IC.CFX,IC1505.CFX,2015-04-27,31418.59528702531,31344.644323000703,31572.53402846428,32251.6755348127,31285.785392450503,31494.055454397356,31548.38677490523,125335.0,21056365.708,15187.0
IC.CFX,IC1505.CFX,2015-04-28,31494.055454397356,31548.38677490523,31346.153526348142,31764.957455263,30227.833845894413,30738.699179003168,30513.82788023447,164120.0,26892373.68,15900.0
IC.CFX,IC1505.CFX,2015-04-29,30738.699179003168,30513.82788023447,30704.742103685745,31349.926534716746,30482.13460993821,31324.27007781025,31226.17186022659,134158.0,22060645.088,17677.0
IC.CFX,IC1505.CFX,2015-04-30,31324.27007781025,31226.17186022659,31391.42962677137,31723.454363208373,31282.766985755625,31462.36218410109,31524.994123019893,120118.0,20066017.768,16354.0
